已有数据: 14 条

============================================================
Round 1/6 | 并行生成 11 组查询...
  Prompt 5: 25 条
  Prompt 1: 25 条
  Prompt 8: 25 条
  Prompt 6: 25 条
  Prompt 7: 25 条
  Prompt 4: 25 条
  Prompt 2: 25 条
  Prompt 3: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1386 条
  ✓ [15] rag_query            | 想申请开通凌霄管理后台的查看权限，需要直属领导审批还是直接找IT？
  ✓ [16] rag_query            | 灵犀邮件客户端如何设置自动将外部发来的营销邮件归类到垃圾箱？
  ✓ [17] rag_query            | 运营团队的新工位集中在A座15楼还是16楼？
  ✓ [18] rag_query            | 请问我4月28号入职的话，需要准备几份纸质版的学历证明原件呢？
  ✓ [19] rag_query            | 下班忘记打卡了怎么补救？
  ✓ [20] rag_query            | 早上打卡晚到十五分钟算不算迟到，钉钉上会自动生成异常记录吗？
  ✓ [21] rag_query            | 周六去南京出差的补贴是工作日标准的两倍吗？
  ✓ [22] rag_query            | 请明确说明周末参与紧急项目研发时的调休折算比例及最迟使用期限。
  ✓ [23] direct_answer        | 公司新办公区的具体地址和邮编是多少？
  ✓ [24] rag_query            | 我下个月去青岛出差，听说餐补标准改了，现在到底是按每天120元发还是按...
  ✓ [25] rag_query            | 西溪园区5层自助文印机的IP地址怎么获取？
  ✓ [26] rag_query            | 我上周六加班了六个小时，产生的调休有效期是半年还是全年呀？
  ✓ [27] multi_intent_split   | 我是新入职的实习生，阿里云盘的企业空间权限什么时候能开通？另外工牌和门...
  ✓ [28] rag_query            | 新人报到当天要交几张一寸照，电子版能直接传钉钉审批流吗？
  ✓ [29] escalate             | 研发三部员工陈浩于4月2日至4月6日期间申请居家办公并获主管钉钉确认，...
  ✓ [30] rag_query            | 晚上九点以后下班的餐补和打车报销，是不是只要考勤打卡记录完整就能自动批...
  ✓ [31] escalate             | 我在通义千问里跑测试脚本时，不小心把含有客户脱敏数据的CSV文件传到了...
  ✓ [32] direct_answer        | 新人培训的操作视频是在夸克盘里看还是直接在钉钉群里找？
  ✓ [33] multi_intent_split   | 夸克网盘同步一直报错“网络异常”，你们IT部门到底能不能靠谱点？顺便告...
  ✓ [34] rag_query            | 请问前往上海出差的交通预订走哪个系统，返程后的打车票据是走差旅报销通道...
  ✓ [35] multi_intent_split   | 钉钉订会议室老被退咋回事啊投影仪坏了报修走啥流程
  ✓ [36] escalate             | 阿里云控制台今天打开特别卡，页面经常无响应，严重影响线上问题排查，请确...
  ✓ [37] escalate             | 我在钉钉打卡记录里明明显示3月15日9点准时到了公司，但云枢考勤系统非...
  ✓ [38] escalate             | 财务部驳回了我提交的华东区Q2客户招待费报销单（单号BX2024041...
  ✓ [39] multi_intent_split   | 居家办公期间阿里云ECS的远程访问权限开不了，能找IT重置下密钥吗？另...
  ✓ [40] multi_intent_split   | 我连着加班大半个月了，休三天年假总可以吧，麻烦加急批一下；另外帮我把通...
  ✓ [41] escalate             | 电子发票导进财务系统老报错咋整
  ✓ [42] rag_query            | 请问新入职员工申请磐石内网访问权限的标准流程是什么？
  ✓ [43] multi_intent_split   | 申请通义实验室沙盒环境权限怎么老显示“配置冲突”？还有我垫付的客户招待...
  ✓ [44] rag_query            | 那个...我想问一下，如果我想把测试服务器的后台权限开给外包同事，具体...
  ✓ [45] rag_query            | 试用期转正考核主要看哪些量化指标？
  ✓ [46] rag_query            | 园区早班通勤车七点从哪个地铁口发车？
  ✓ [47] escalate             | 云效平台的代码仓库权限还没批下来，阻塞了今晚的发布任务，能加急处理吗？
  ✓ [48] rag_query            | 我想请12月24号到28号的假，需要提前多久提交审批才不会影响本季度的...
  ✓ [49] rag_query            | 临时出差来不及提前三天在钉钉提交申请，事后补走审批流程符合规定吗？
  ✓ [50] rag_query            | 刚来还在适应期周末加了个班攒调休，这个调休额度是按半年有效期还是跟年假...
  ✓ [51] rag_query            | 我职级是P6，11月8日到11月12日在杭州参加封闭培训，期间如果公司...
  ✓ [52] escalate             | 之前用星盘OA填的绩效自评数据，现在迁移到灵雀HR系统后部分字段变成乱...
  ✓ [53] rag_query            | 2000元差旅费结束后超过60天还没报销，系统会自动冻结个人额度吗？
  ✓ [54] escalate             | 通义千问内部知识库接口在昨晚23点升级后返回大量502错误，导致智能客...
  ✓ [55] rag_query            | 我想在夸克内部网盘里开个共享文件夹给跨部门团队，但提示权限不够，该找哪...
  ✓ [56] direct_answer        | 天机数据平台的业务看板权限申请入口在哪里，我想查看上季度的运营指标？
  ✓ [57] rag_query            | 年假额度剩多少能查不嘛
  ✓ [58] rag_query            | 11月5日提交的餐饮招待费报销单已经卡在财务审核三天了，怎么在系统里加...
  ✓ [59] multi_intent_split   | 测试服远程连不上咋搞啊顺便问下新测试机还能申请不
  ✓ [60] rag_query            | 我1月10号紧急去广州处理线上故障，因为太晚订房导致协议酒店满了，这种...
  ✓ [61] rag_query            | 我打算下周一开始连续加班三个晚上，加班申请是每天单独提交还是汇总提报？
  ✓ [62] direct_answer        | 总部B2层充电桩是否支持支付宝扫码？
  ✓ [63] direct_answer        | 财务部专属打印机在302室还是303室？
  ✓ [64] escalate             | 钉钉账号被锁了赶紧解下嘛顺便问下阿里云控制台初始密码咋重置
  ✓ [65] escalate             | 阿里云华东2区弹性计算控制台突发登录鉴权失败，所有研发账号均报“Tok...
  ✓ [66] direct_answer        | 钉钉文档在编辑大型表格时频繁出现输入延迟和卡顿，有没有推荐的缓存清理方...
  ✓ [67] rag_query            | 4月份累计的调休时长，最晚能在下个季度结束前全部休完吗？
  ✓ [68] rag_query            | 预订下月去北京的机票时，系统提示需要三级审批，请问标准审批流到底有几步...
  ✓ [69] rag_query            | 高铁票价超过450元必须降级选择二等座吗？
  ✓ [70] direct_answer        | 新人报到第一天该找谁领办公电脑啊？
  ✓ [71] escalate             | 我是基础架构组技术专家周伟，本月个税申报金额与实际税前收入严重不符，经...
  ✓ [72] multi_intent_split   | 为什么我在钉钉上申请云枢平台的数据库写权限被秒拒了？还有我上个月帮部门...
  ✓ [73] escalate             | 网突然断了急！钉钉审批页面卡死打不开
  ✓ [74] multi_intent_split   | 我就想问下，申请阿里云OSS存储权限非得走三级审批吗？太繁琐了吧！另外...
  ✓ [75] rag_query            | 想要为实习生开通天问知识库的只读权限，工单里需要上传什么证明材料？
  ✓ [76] rag_query            | 1500元的住宿报销单被驳回后修改重新提交，原流程的排队顺序会清零重新...
  ✓ [77] rag_query            | 发票金额是320元但抬头填错了，现在要在财务系统里重提报销，需要走纸质...
  ✓ [78] rag_query            | 9月份产生的500元差旅发票已经超期了，现在还能在夸克内部系统里发起报...
  ✓ [79] direct_answer        | 内网最近好像有点卡，能帮我看看是不是服务器的问题吗？
  ✓ [80] multi_intent_split   | 我的钉钉客户端更新后打卡定位总是飘移两公里，另外我想把本月剩余的调休天...
  ✓ [81] rag_query            | 外部供应商申请临时访问内网开发环境，需提交哪些合规材料并经过信息安全部...
  ✓ [82] escalate             | 紧急申请开通万象配置后台的管理员权限，线上活动规则需要立刻调整。
  ✓ [83] rag_query            | 上月工资条咋还没推送啊
  ✓ [84] multi_intent_split   | 园区停车券怎么领啊顺便问下员工健身房几点关门
  ✓ [85] rag_query            | 上周提交的差旅报销单被退回了，说交通费凭证不对，具体是缺了行程单还是打...
  ✓ [86] multi_intent_split   | 我刚做完孕检，钉钉上的特殊考勤保护期怎么申请？另外孕早期产检假是算在年...
  ✓ [87] escalate             | 阿里云线上生产环境数据库主节点突发读写阻塞，导致夸克搜索业务线全面不可...
  ✓ [88] multi_intent_split   | 离职交接的服务器资产清单已经签字了，归还IT仓库的具体地址在哪？另外最...
  ✓ [89] multi_intent_split   | 通义会议室明早九点要开产品评审，能提前半小时开空调和测试投屏吗？另外上...
  ✓ [90] multi_intent_split   | 内网穿透工具又报502错误了，你们运维是不是又半夜乱更新配置？顺便帮我...
  ✓ [91] escalate             | 我的办公账号连续输错密码被锁定了，急需登录处理紧急审批，请帮忙解锁。
  ✓ [92] escalate             | 打开星辰系统报表页面时加载非常缓慢，经常转圈卡顿，怎么优化体验？
  ✓ [93] rag_query            | 从杭州到成都出差的跨省长途交通能报销高铁一等座吗？
  ✓ [94] multi_intent_split   | 钉钉视频会议连麦老是掉线，这内网是不是该扩容了？顺便问下5月10号去上...
  ✓ [95] rag_query            | 差旅订票走哪个渠道啊顺便把出差住宿标准发下呗
  ✓ [96] rag_query            | 上个月15号去杭州参加云栖大会的交通费，发票在夸克里存了半年但聚宝盆报...
  ✓ [97] multi_intent_split   | 弹性工作制是不是只针对研发线？顺便帮我看下新入职的应届生档案调转流程，...
  ✓ [98] escalate             | 报销打款还没到账嘛赶紧催催财务哈
  ✓ [99] escalate             | 昨晚阿里云盘同步服务维护，导致“天穹计划”的3D渲染源文件缺失了最近两...
  ✓ [100] rag_query            | 九点零一分打卡系统会自动标记异常吗？
  ✓ [101] escalate             | 我是法务合规部张静，因突发监管检查需紧急调阅通义实验室近半年的数据出境...
  ✓ [102] direct_answer        | 外勤签到需要在通义助手提交定位吗？
  ✓ [103] rag_query            | 试用期内员工若因个人原因主动离职，公司规定的薪资结算与离职手续交接周期...
  ✓ [104] escalate             | 会议室设备调试
  ✓ [105] rag_query            | 请问4月12号那天我要去客户现场拜访，外勤打卡必须用钉钉签到还是拍照就...
  ✓ [106] rag_query            | 我是今天刚报到的新人，临时工牌大概要佩戴多久才能换成正式工牌呀？
  ✓ [107] escalate             | 我的通义千问API生产环境调用额度申请又被系统以“未达使用率门槛”驳回...
  ✓ [108] escalate             | 我是跨境业务合规专员林悦，因海外审计紧急需要，申请临时开通星轨平台三级...
  ✓ [109] rag_query            | 早上九点半到岗算迟到对吧？
  ✓ [110] rag_query            | 公司现在允许远程办公吗，一周最多几天啊？
  ✓ [111] multi_intent_split   | 我准备4月28号到5月2号连休年假，麻烦提前帮我开通阿里云国际版的临时...
  ✓ [112] rag_query            | 申请开放星图分析平台的历史数据导出权限，审批流大概需要几个工作日？
  ✓ [113] rag_query            | 请问本月考勤异常数据最迟需在钉钉上提交补卡申请的截止日期是哪天？
  ✓ [114] rag_query            | 电脑弹窗中病毒了急！内网杀毒软件咋装啊
  ✓ [115] direct_answer        | 调岗后新工位的编号能在钉钉通讯录查到吗？
  ✓ [116] rag_query            | 我上个月去上海见客户住了三晚，发票开好了财务说超标，这个限额到底卡在哪...
  ✓ [117] rag_query            | 外勤拜访超过八小时的，打卡范围需要扩展到几公里内才不会算异常？
  ✓ [118] multi_intent_split   | 我打算把年假拆分成半天休，系统里怎么操作都不对？另外麻烦把阿里云容器服...
  ✓ [119] rag_query            | 我4月15号入职，五险一金从当月开始交还是次月开始交呀？
  ✓ [120] direct_answer        | 前台那台共享打印机卡纸了，请问报修流程走哪个系统？
  ✓ [121] rag_query            | 入职满一年员工的标准年假天数是几天？
  ✓ [122] rag_query            | 密码怎么重置
  ✓ [123] rag_query            | 如何将我的测试账号加入伏羲代码库的只读权限组？
  ✓ [124] rag_query            | 我作为P7职级员工，12月1日至12月5日在苏州参加客户培训，每天的伙...
  ✓ [125] escalate             | 夸克企业文档权限申请卡在审批节点了，项目组明天要集中培训，请帮忙催办。
  ✓ [126] multi_intent_split   | 能不能帮我把4月28号的年假审批加急一下？顺便查查我的阿里郎客户端为什...
  ✓ [127] rag_query            | 通义千问企业版权限咋申请开通啊
  ✓ [128] rag_query            | 中秋节的定制礼盒是发到钉钉收货地址还是自提点？另外我老家在武汉，能不能...
  ✓ [129] rag_query            | 入职满半年能休几天年假呀，是按日历月折算还是直接按全年比例算的？
  ✓ [130] direct_answer        | 团队共享日历咋同步到手机钉钉呢
  ✓ [131] rag_query            | 使用公司电脑连接北极星VPN时频繁掉线，是客户端版本过旧需要升级吗？
  ✓ [132] rag_query            | 我在10月15日参加了通义千问的技术峰会，产生的打车发票现在还能在内部...
